classmark,location
AA,Middle Floor
AB,Middle Floor
AC,Middle Floor
AD,Middle Floor
AE,Middle Floor
AF,Middle Floor
AG,Middle Floor
AH,Middle Floor
AI,Middle Floor
AJ,Middle Floor
AK,Middle Floor
AL,Middle Floor
AM,Middle Floor
AN,Middle Floor
AO,Middle Floor
AP,Middle Floor
AQ,Middle Floor
AR,Middle Floor
AS,Middle Floor
AT,Middle Floor
AU,Middle Floor
AV,Middle Floor
AW,Middle Floor
AX,Middle Floor
AY,Middle Floor
AZ,Middle Floor
BA,Middle Floor
BB,Middle Floor
BC,Middle Floor
BD,Middle Floor
BE,Middle Floor
BF,Middle Floor
BG,Middle Floor
BH,Middle Floor
BI,Middle Floor
BJ,Middle Floor
BK,Middle Floor
BL,Middle Floor
BM,Middle Floor
BN,Middle Floor
BO,Middle Floor
BP,Middle Floor
BQ,Middle Floor
BR,Middle Floor
BS,Middle Floor
BT,Middle Floor
BU,Middle Floor
BV,Middle Floor
BW,Middle Floor
BX,Middle Floor
BY,Middle Floor
BZ,Middle Floor
CA,Middle Floor
CB,Middle Floor
CC,Middle Floor
CD,Middle Floor
CE,Middle Floor
CF,Middle Floor
CG,Middle Floor
CH,Middle Floor
CI,Middle Floor
CJ,Middle Floor
CK,Middle Floor
CL,Middle Floor
CM,Middle Floor
CN,Middle Floor
CO,Middle Floor
CP,Middle Floor
CQ,Middle Floor
CR,Middle Floor
CS,Middle Floor
CT,Middle Floor
CU,Middle Floor
CV,Middle Floor
CW,Middle Floor
CX,Middle Floor
CY,Middle Floor
CZ,Middle Floor
DA,Middle Floor
DB,Middle Floor
DC,Middle Floor
DD,Middle Floor
DE,Middle Floor
DF,Middle Floor
DG,Middle Floor
DH,Middle Floor
DI,Middle Floor
DJ,Middle Floor
DK,Middle Floor
DL,Middle Floor
DM,Middle Floor
DN,Middle Floor
DO,Middle Floor
DP,Middle Floor
DQ,Middle Floor
DR,Middle Floor
DS,Middle Floor
JX,Ground Floor
JY,Ground Floor
JZ,Ground Floor
KA,Ground Floor
KB,Ground Floor
KC,Ground Floor
KD,Ground Floor
KE,Ground Floor
KF,Ground Floor
KG,Ground Floor
KH,Ground Floor
KI,Ground Floor
KJ,Ground Floor
KK,Ground Floor
KL,Ground Floor
KM,Ground Floor
KN,Ground Floor
KO,Ground Floor
KP,Ground Floor
KQ,Ground Floor
KR,Ground Floor
KS,Ground Floor
KT,Ground Floor
KU,Ground Floor
KV,Ground Floor
KW,Ground Floor
KX,Ground Floor
KY,Ground Floor
KZ,Ground Floor
DT,Top Floor Front Left
DU,Top Floor Front Left
DV,Top Floor Front Left
DW,Top Floor Front Left
DX,Top Floor Front Left
DY,Top Floor Front Left
DZ,Top Floor Front Left
EA,Top Floor Front Left
EB,Top Floor Front Left
EC,Top Floor Front Left
ED,Top Floor Front Left
